TVnews,self,Congress_approach,BJP_approach,PID,age,education,income,vote
5,3,3,5,1,25,6,15,0
7,2,2,6,0,25,7,15,0
4,2,4,5,0,70,6,15,0
1,6,2,5,6,41,3,15,1
0,4,2,6,1,37,6,15,0
0,6,1,6,6,39,5,15,1
6,3,4,6,0,35,4,15,0
4,2,3,6,0,62,7,15,0
0,3,2,6,1,30,7,15,0
7,4,2,6,0,74,4,15,0
7,3,3,4,5,47,3,15,0
4,4,5,3,1,43,6,15,0
6,5,3,6,5,64,2,15,1
7,4,3,5,2,75,4,15,1
3,4,4,7,1,27,6,15,0
7,4,4,6,0,21,3,15,0
4,2,2,6,1,70,2,15,0
6,5,2,6,5,67,3,15,1
7,6,4,5,6,82,5,15,0
0,2,2,6,0,40,6,15,0
0,5,3,6,5,26,4,15,1
3,4,3,5,1,29,6,15,0
1,4,5,6,2,28,6,15,0
7,6,4,3,5,65,3,15,0
2,6,5,3,1,25,3,15,0
7,3,2,7,1,65,2,15,0
4,6,2,6,5,38,5,15,1
2,4,3,5,5,72,7,15,1
7,3,2,7,1,67,3,15,0
7,3,1,7,0,74,3,15,0
5,2,4,4,2,71,6,15,0
0,4,6,4,0,47,3,15,0
7,5,4,6,1,69,1,15,0
3,3,3,6,1,29,6,15,0
0,6,2,5,6,34,3,15,1
3,4,3,6,0,43,4,15,0
7,2,1,7,0,30,3,15,0
7,5,5,4,0,76,2,15,0
0,2,4,6,1,26,5,16,0
7,4,3,6,2,76,5,16,0
0,1,4,6,1,42,7,16,0
4,3,1,4,5,33,3,16,1
1,6,2,5,5,25,3,16,1
0,2,2,7,0,51,4,16,0
4,4,2,5,4,57,3,16,1
1,6,1,5,6,21,4,16,1
7,5,1,4,5,79,7,16,1
1,6,2,5,5,35,5,16,1
5,4,2,5,4,57,6,16,1
1,4,4,6,5,32,6,16,0
5,4,5,5,2,51,6,16,0
0,5,2,4,6,62,7,16,1
4,5,1,6,5,48,4,16,1
7,7,1,6,6,39,3,16,1
5,3,2,6,5,26,6,16,1
0,4,2,4,1,38,3,16,1
5,3,3,4,0,50,4,16,0
2,5,5,6,4,33,3,16,1
5,4,3,6,2,36,3,16,0
5,4,4,6,0,24,6,16,0
4,3,2,6,0,25,5,16,0
7,6,5,3,0,62,3,16,0
2,4,3,3,6,33,3,16,1
7,6,2,5,6,53,6,16,1
7,6,2,5,6,68,6,16,1
7,5,4,6,1,68,3,16,0
1,6,1,5,5,38,3,16,1
1,4,5,3,0,58,1,16,0
7,4,2,6,5,34,6,16,1
2,4,3,4,1,58,2,16,0
0,3,4,7,1,35,5,16,0
3,7,2,6,6,42,6,16,1
7,4,4,6,0,54,3,16,0
7,6,2,5,6,69,3,16,1
2,4,6,5,0,35,4,16,0
7,6,1,5,6,66,4,16,1
2,3,2,7,0,58,3,16,0
5,2,4,7,1,41,3,16,0
2,5,2,6,4,35,6,16,0
0,3,3,6,1,40,7,16,0
7,4,7,2,0,53,1,16,0
5,6,2,6,5,67,6,16,1
5,4,4,6,0,32,5,16,0
4,3,4,6,0,41,4,16,0
1,2,1,6,1,43,7,16,0
1,5,3,2,0,65,2,16,0
7,3,3,7,0,60,5,16,0
7,5,3,6,0,77,6,16,0
0,6,5,4,1,35,4,16,0
4,6,7,5,1,48,4,16,0
0,6,2,6,6,52,3,16,1
7,5,3,6,2,43,7,16,0
7,6,2,6,6,43,5,16,1
7,6,2,6,6,67,4,16,1
1,4,4,7,0,56,3,16,0
2,3,3,4,0,62,4,16,0
1,7,7,5,0,62,3,16,0
3,3,2,6,1,22,6,16,0
0,2,2,6,1,21,5,16,0
3,6,1,6,6,34,3,16,1
7,4,3,5,0,70,3,16,0
1,3,2,6,2,50,3,16,0
5,6,1,6,6,42,4,16,1
5,6,2,6,6,73,3,16,1
2,3,1,6,0,57,7,16,0
7,6,1,5,6,40,6,16,1
2,6,1,6,6,58,6,16,1
7,4,6,2,1,62,3,16,0
1,3,5,3,1,44,3,17,0
3,5,3,7,6,30,6,17,0
7,3,3,7,0,76,5,17,0
3,4,3,3,1,50,4,17,0
1,6,2,5,5,41,4,17,1
6,6,3,6,6,77,3,17,1
3,6,3,5,6,35,6,17,1
7,4,3,4,3,39,4,17,0
0,4,2,4,4,72,3,17,1
2,6,2,5,6,42,7,17,1
7,5,2,6,5,85,2,17,1
0,4,2,6,3,79,4,17,0
5,2,3,6,0,39,4,17,0
4,6,1,5,6,58,6,17,1
0,4,2,6,5,27,6,17,1
4,4,3,5,1,43,5,17,0
0,3,3,6,0,58,4,17,0
7,4,3,6,4,28,7,17,1
2,5,3,6,5,27,6,17,0
0,3,6,5,2,40,3,17,0
5,1,3,6,0,43,6,17,0
7,5,4,6,5,64,3,17,1
7,2,2,6,0,39,6,17,0
7,4,2,6,4,76,4,17,1
5,3,3,6,0,64,5,17,0
4,4,6,3,2,28,4,17,0
2,4,2,6,1,45,3,17,0
1,6,2,6,6,22,3,17,1
1,3,3,6,1,27,6,17,0
0,1,2,7,0,31,4,17,0
1,2,2,7,0,34,6,17,0
4,2,3,7,0,30,4,17,0
2,6,1,6,6,64,3,17,1
0,6,1,6,4,36,6,17,1
7,4,3,5,4,31,2,17,1
1,4,3,4,5,37,3,17,1
0,6,4,2,1,48,3,17,0
0,5,7,7,3,41,3,17,0
2,5,2,6,5,25,4,17,1
5,4,2,6,6,82,3,17,1
1,6,2,5,4,36,7,17,1
7,6,2,5,1,47,3,17,1
6,2,3,6,0,67,4,17,0
0,4,6,2,5,24,4,17,1
0,4,5,3,5,33,6,17,1
7,4,1,5,1,59,4,17,1
7,7,1,6,6,71,4,17,1
7,6,2,5,6,36,3,17,1
3,3,3,5,0,41,3,17,0
5,6,2,6,6,38,6,17,1
1,6,3,6,6,32,3,17,1
0,5,6,7,1,32,4,17,0
6,5,4,6,0,75,6,17,0
7,5,2,4,4,52,3,17,1
5,2,3,6,0,29,7,17,0
7,3,4,6,0,71,3,17,0
0,6,2,5,2,33,6,17,0
3,1,2,7,2,67,7,17,0
2,6,1,6,6,49,4,17,1
0,2,3,5,1,31,7,17,0
7,3,4,6,1,53,2,17,0
3,2,3,7,0,35,7,17,0
7,6,2,6,6,49,7,18,1
7,6,4,4,0,74,3,18,0
0,6,1,5,6,29,4,18,1
5,2,3,6,0,27,6,18,0
5,4,4,6,5,70,4,18,0
0,6,1,6,6,43,6,18,1
5,2,3,6,2,47,7,18,0
4,4,4,6,0,42,7,18,0
0,6,2,5,6,41,6,18,1
2,6,4,6,6,37,4,18,1
5,5,5,4,1,61,3,18,0
7,4,2,6,0,84,4,18,0
7,5,3,7,0,46,6,18,0
0,4,3,6,5,39,7,18,0
7,2,3,6,0,53,3,18,0
7,5,1,6,6,87,6,18,1
2,4,6,2,0,51,3,18,0
0,5,2,5,4,37,5,18,1
1,4,3,5,4,37,6,18,1
0,5,2,6,6,40,6,18,1
3,4,4,6,2,46,6,18,0
7,1,4,1,3,44,3,18,1
2,4,3,6,1,37,3,18,0
7,4,2,6,2,55,7,18,0
0,5,2,5,1,40,6,18,1
5,3,2,6,1,42,7,18,0
7,6,2,6,6,40,3,18,1
0,6,2,6,6,32,3,18,1
5,5,2,5,4,58,7,18,1
2,5,1,6,4,37,3,18,1
4,4,5,5,5,51,3,18,1
5,3,5,4,5,44,5,18,0
2,4,5,2,0,23,2,18,0
2,6,2,6,6,38,3,18,1
0,3,4,6,0,42,7,18,0
7,4,2,5,4,60,4,18,1
3,4,3,6,1,34,4,18,0
1,6,2,6,6,49,3,18,1
0,4,2,3,4,40,3,18,1
7,2,2,7,0,23,4,18,0
2,2,3,6,0,47,3,18,0
7,4,4,7,0,44,5,18,0
5,5,2,6,1,37,7,18,1
2,6,1,6,5,26,5,18,1
7,7,6,5,2,51,4,18,0
4,4,4,6,0,69,3,18,0
2,2,2,7,0,36,6,18,0
2,2,3,6,2,28,4,18,0
4,5,2,6,5,40,4,19,1
1,6,1,6,5,45,4,19,1
3,5,2,5,5,75,6,19,1
2,6,2,5,5,32,6,19,1
0,3,2,6,1,27,3,19,0
6,5,2,5,3,63,6,19,1
1,5,3,6,6,79,7,19,1
7,3,2,6,1,40,6,19,0
2,4,3,6,1,57,6,19,0
3,3,4,5,1,44,6,19,0
7,5,2,5,6,78,6,19,1
7,4,5,5,5,58,7,19,0
7,2,2,7,1,55,3,19,0
4,3,4,6,2,25,6,19,0
0,2,3,6,0,27,7,19,0
3,4,2,7,2,21,3,19,0
3,6,2,6,5,37,4,19,1
0,7,3,4,5,31,3,19,1
7,2,4,6,0,85,7,19,0
1,4,2,6,5,33,3,19,0
7,3,7,4,3,63,2,19,1
7,4,4,6,1,51,3,19,0
2,3,5,2,0,46,3,19,0
2,5,2,6,6,26,5,19,1
7,3,3,6,0,57,6,19,0
3,4,2,6,1,48,3,19,1
2,7,1,5,5,55,3,19,1
0,3,6,4,1,37,5,19,0
2,6,2,6,6,39,3,19,1
2,2,3,4,1,24,3,19,1
0,6,3,6,6,30,6,19,1
0,3,4,6,1,36,7,19,0
0,5,4,6,4,45,3,19,0
1,5,2,6,2,29,3,19,0
7,6,3,6,5,41,4,19,1
1,5,3,5,4,28,5,19,1
7,2,2,7,0,35,4,19,0
7,2,3,6,0,46,4,19,0
7,1,2,7,1,55,4,19,0
3,2,3,6,6,65,4,19,0
1,4,2,6,1,22,4,19,0
1,4,4,6,1,41,4,19,0
1,2,3,6,2,43,7,19,0
2,4,3,6,0,49,4,19,0
4,4,2,5,4,35,7,19,1
7,3,3,5,1,80,3,19,0
2,4,6,2,0,57,4,19,0
4,3,3,6,0,48,3,19,0
4,1,4,6,2,43,6,19,0
3,4,4,7,0,34,4,19,0
7,2,2,4,0,44,5,19,0
3,6,1,6,4,49,6,20,1
7,5,2,7,2,43,7,20,0
0,4,3,5,6,39,4,20,1
2,4,3,7,1,27,3,20,0
4,6,2,6,6,30,6,20,1
2,6,2,6,4,33,6,20,1
1,2,3,7,0,32,5,20,0
7,5,2,6,6,31,6,20,1
2,5,3,7,2,27,5,20,0
3,2,2,6,0,36,4,20,0
7,3,2,6,2,45,5,20,0
5,4,6,5,2,51,3,20,0
0,6,2,3,5,36,4,20,1
7,6,4,6,4,47,7,20,1
4,4,4,6,1,42,6,20,0
6,6,1,5,6,70,6,20,1
0,3,3,6,3,40,4,20,0
7,2,5,7,0,38,3,20,0
0,5,1,6,4,29,3,20,1
0,4,2,5,6,58,3,20,1
7,4,6,1,2,28,3,20,0
1,6,3,6,5,30,4,20,1
3,4,3,6,2,48,5,20,0
0,6,2,6,6,35,4,20,1
3,6,7,6,0,38,3,20,0
0,4,2,5,4,56,7,20,1
4,5,3,6,5,62,4,20,1
7,6,1,6,5,56,4,20,1
0,6,2,5,6,32,3,20,1
5,4,5,7,1,50,5,20,0
3,3,4,6,1,45,6,20,0
7,3,3,4,0,36,6,20,0
1,6,2,6,6,49,4,20,1
2,7,1,6,6,31,6,20,1
4,2,3,6,2,33,7,20,0
1,6,2,6,6,35,4,20,1
2,4,2,5,4,73,4,20,1
7,6,1,5,6,54,5,20,1
3,4,2,7,1,48,3,20,0
3,6,2,6,4,65,4,20,1
7,5,6,5,6,46,4,20,0
0,2,2,6,0,45,7,20,0
7,6,2,5,6,65,7,20,1
0,6,2,6,6,45,6,20,1
7,4,1,5,4,89,7,20,1
0,5,3,6,4,32,4,20,0
4,6,4,4,1,38,4,20,0
5,2,4,2,5,33,4,20,1
4,6,2,5,6,49,7,20,1
7,5,2,6,5,64,6,20,1
5,5,4,7,1,55,4,20,0
0,3,3,5,1,56,7,20,0
4,4,5,3,5,30,6,20,0
0,5,4,6,5,41,7,20,1
1,6,2,5,6,39,5,20,1
7,4,4,6,4,34,3,20,0
5,4,5,7,1,53,3,20,0
2,3,3,6,2,40,6,20,0
0,3,3,6,1,48,6,20,0
7,6,5,5,5,59,4,20,0
7,6,2,4,4,54,4,20,1
0,3,5,6,1,41,6,20,0
1,2,3,6,0,41,6,20,0
5,5,3,6,4,63,7,20,0
1,7,1,6,4,39,3,20,1
3,7,2,5,4,46,3,20,0
7,4,3,6,0,55,3,20,0
7,4,1,5,3,42,3,20,1
7,6,3,6,4,58,2,20,1
0,3,2,6,2,42,4,20,0
7,4,3,4,2,40,6,20,1
7,5,2,5,1,56,6,20,1
1,4,5,2,2,37,4,20,0
2,3,2,6,2,37,6,20,0
6,5,1,5,5,49,6,20,1
7,6,1,6,6,63,4,20,1
7,6,2,5,6,30,7,20,1
7,4,2,6,4,62,5,20,1
0,4,3,6,1,30,6,20,0
0,6,3,6,6,34,6,20,1
7,6,3,6,5,41,4,20,1
0,4,5,4,6,43,3,20,1
2,5,2,6,4,33,5,20,0
6,4,3,5,5,67,7,20,1
7,5,1,6,0,55,5,20,1
6,2,2,6,0,33,5,20,0
0,6,1,5,5,61,4,20,1
7,4,1,6,4,45,3,20,0
7,4,3,7,0,34,3,20,0
1,6,2,6,6,35,3,20,1
1,4,4,5,2,50,6,20,0
7,3,4,2,0,38,4,20,0
0,6,2,6,5,56,3,20,1
2,4,1,6,5,31,3,20,1
5,6,1,4,5,40,7,20,1
4,3,2,6,0,44,3,20,0
7,6,5,2,2,39,4,20,0
1,4,3,6,1,45,3,20,0
5,3,3,6,0,72,6,20,0
7,2,3,5,1,44,7,20,0
7,1,3,6,0,61,7,21,0
6,6,2,6,6,34,7,21,1
4,5,2,5,5,61,6,21,1
6,3,3,7,1,67,4,21,0
7,4,1,4,6,38,6,21,1
7,4,2,6,1,50,6,21,0
6,6,1,6,6,62,4,21,1
2,6,3,6,5,36,6,21,1
3,6,3,5,4,50,6,21,1
2,4,2,7,1,30,6,21,0
5,6,2,6,6,59,5,21,1
7,3,3,6,0,62,6,21,0
7,4,3,6,3,40,4,21,0
1,6,1,6,6,30,4,21,1
6,3,2,6,2,47,3,21,0
2,5,2,6,1,41,6,21,0
2,6,1,6,6,35,7,21,1
7,5,2,6,6,45,4,21,1
2,4,2,6,4,34,6,21,1
2,5,7,2,2,55,3,21,0
1,5,3,6,2,37,4,21,0
3,5,2,4,4,61,7,21,1
3,4,5,4,1,62,2,21,0
1,5,2,6,6,54,6,21,1
3,2,3,6,1,33,6,21,0
0,2,3,6,1,50,6,21,0
0,3,4,7,2,37,3,21,0
5,5,3,6,3,44,3,21,1
7,4,3,4,3,78,3,21,0
7,6,2,4,6,56,3,21,0
0,2,3,4,2,29,6,21,0
7,3,2,5,4,52,6,21,0
1,6,4,5,1,31,3,21,0
0,6,3,6,6,34,7,21,1
2,5,3,6,5,31,7,21,1
7,4,3,5,2,43,6,21,0
1,4,4,3,5,31,3,21,1
6,6,1,6,6,63,7,21,1
2,2,3,7,4,38,4,21,0
2,6,2,6,6,31,5,21,1
2,2,1,7,0,64,3,21,0
2,3,2,5,5,55,7,21,0
1,2,2,6,0,41,3,21,0
4,3,4,5,5,38,4,21,1
4,6,3,6,5,28,6,21,1
7,4,3,5,5,42,5,21,1
7,2,4,3,1,43,4,21,0
1,5,1,6,5,37,4,21,1
1,4,2,6,3,47,5,21,0
5,5,1,6,5,52,7,21,1
0,5,2,6,5,32,4,21,1
5,4,4,3,2,29,3,21,0
2,6,2,5,4,56,3,21,1
7,4,3,5,5,63,7,21,1
3,3,3,6,1,35,5,21,0
7,4,3,5,3,36,4,21,1
7,4,2,7,0,75,5,21,0
5,3,3,6,1,48,6,21,0
4,7,2,6,6,36,5,21,1
4,4,3,6,2,34,6,21,0
7,4,3,7,1,35,5,21,0
3,5,2,5,6,50,4,21,1
3,5,2,5,6,39,7,21,1
5,5,4,6,5,70,7,21,1
7,4,2,5,6,76,3,21,1
5,5,2,5,5,35,6,21,1
0,3,4,3,3,53,7,21,1
6,5,2,6,4,46,6,21,1
2,5,2,5,4,34,4,21,1
5,4,4,6,5,69,4,21,0
1,5,2,5,1,32,3,21,0
7,5,1,6,6,50,2,21,1
1,5,3,6,6,35,6,21,1
0,6,1,6,6,67,5,21,1
3,5,5,6,5,47,3,21,0
2,6,3,5,4,50,6,21,1
0,6,2,6,4,32,3,21,1
3,5,4,6,2,58,5,21,0
7,3,2,7,0,49,7,21,0
2,6,3,6,1,43,4,21,1
1,5,2,6,5,24,6,21,1
7,5,3,4,2,58,7,21,0
1,2,2,5,0,43,4,21,0
7,4,3,6,5,59,3,21,1
3,6,1,6,6,40,5,21,1
0,5,2,7,0,35,4,21,0
5,2,3,5,1,48,4,21,0
4,6,1,6,6,40,3,21,1
3,3,2,7,0,48,3,21,0
0,2,4,6,0,47,7,21,0
3,6,4,1,1,23,3,21,0
0,6,1,6,6,38,3,21,1
7,6,2,6,6,81,7,21,1
5,3,3,6,1,48,6,21,0
7,5,6,2,4,52,3,21,0
2,4,1,6,3,24,6,21,1
0,4,2,6,1,21,5,21,0
7,5,2,6,5,70,6,21,1
7,7,1,7,6,24,6,21,1
7,4,3,5,1,57,7,21,0
6,3,5,6,4,37,6,21,0
